labeller_id,qa_id,story_name,section_id,section,source,split,question,answer,readability,relevancy_q,relevancy_a,readability_new,relevancy_q_new,relevancy_a_new,diff_readability,diff_relevancy_q,diff_relevancy_a
0,0,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",groundtruth,test,where did the man and his wife and two girls live ?,near a forest .,5,5,5,5,5,5,0,0,0
4,0,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",groundtruth,test,where did the man and his wife and two girls live ?,near a forest .,5,5,5,5,5,5,0,0,0
0,1,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",groundtruth,test,how did the man's daughter look ?,beautiful .,5,5,5,5,4,5,0,1,0
4,1,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",groundtruth,test,how did the man's daughter look ?,beautiful .,5,5,4,5,5,5,0,0,1
0,2,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",PAQ,test,who thought the most bewitching maiden ever was seen?,her mother.,3,4,1,2,3,3,1,1,2
4,2,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",PAQ,test,who thought the most bewitching maiden ever was seen?,her mother.,2,5,5,5,5,5,3,0,0
0,3,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",PAQ,test,what was the name of the woman's daughter?,cross and ugly.,5,1,1,5,2,1,0,1,0
4,3,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",PAQ,test,what was the name of the woman's daughter?,cross and ugly.,5,1,1,5,3,1,0,2,0
0,4,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",PAQ,test,what type of girl was the woman's daughter?,ugly.,4,4,1,5,5,5,1,1,4
4,4,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",PAQ,test,what type of girl was the woman's daughter?,ugly.,4,5,4,5,3,2,1,2,2
0,5,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",Ours,test,where did the man and his wife live?,a forest.,5,5,5,5,5,2,0,0,3
4,5,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",Ours,test,where did the man and his wife live?,a forest.,5,5,5,5,5,4,0,0,1
0,6,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",Ours,test,who was good and beautiful?,the man's daughter.,5,5,5,5,5,5,0,0,0
4,6,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",Ours,test,who was good and beautiful?,the man's daughter.,5,5,5,5,5,5,0,0,0
0,7,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",Ours,test,who was cross and ugly?,the woman's daughter.,5,5,5,5,5,5,0,0,0
4,7,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",Ours,test,who was cross and ugly?,the woman's daughter.,5,5,5,5,5,5,0,0,0
