labeller_id,qa_id,story_name,section_id,section,source,split,question,answer,readability,relevancy_q,relevancy_a,readability_new,relevancy_q_new,relevancy_a_new,diff_readability,diff_relevancy_q,diff_relevancy_a
0,4,enchanted-wreath,0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",PAQ,test,what type of girl was the woman's daughter?,ugly.,4,4,1,5,5,5,1,1,4
0,23,enchanted-wreath,2,"but the wife answered:'if your daughter is wet already, it is all the more reason that she should go and get the axe. besides, she is a great strong girl, and a little rain will not hurt her, while my daughter would be sure to catch a bad cold.'by long experience the man knew there was no good saying any more, and with a sigh he told the poor girl she must return to the forest for the axe .",Ours,test,what did the daughter need to return home for?,the axe.,5,5,5,5,1,1,0,4,4
0,503,golden-goose,62,"so then dullhead said: 'father, let me go out and cut wood.'but his father answered: 'both your brothers have injured themselves. you had better leave it alone; you know nothing about it.'but dullhead begged so hard to be allowed to go that at last his father said: 'very well, then-go. perhaps when you have hurt yourself, you may learn to know better.' his mother only gave him a very plain cake made with water and baked in the cinders, and a bottle of sour beer .",groundtruth,test,who will dullhead meet in the forest ?,the little grey old man .,5,5,5,5,1,5,0,4,0
0,509,golden-goose,62,"so then dullhead said: 'father, let me go out and cut wood.'but his father answered: 'both your brothers have injured themselves. you had better leave it alone; you know nothing about it.'but dullhead begged so hard to be allowed to go that at last his father said: 'very well, then-go. perhaps when you have hurt yourself, you may learn to know better.' his mother only gave him a very plain cake made with water and baked in the cinders, and a bottle of sour beer .",Ours,test,what did dullhead's mother do when he hurt himself?,"his mother only gave him a very plain cake made with water and baked in the cinders , and a bottle of sour beer.",5,3,5,5,1,1,0,2,4
1,497,golden-goose,61,"but this clever son replied: 'if i give you my cake and wine i shall have none left for myself; you just go your own way;' and he left the little man standing there and went further on into the forest. there he began to cut down a tree, but before long he made a false stroke with his axe, and cut his own arm so badly that he was obliged to go home and have it bound up.then the second son went to the forest, and his mother gave him a good cake and a bottle of wine as she had to his elder brother. he too met the little old grey man, who begged him for a morsel of cake and a draught of wine.but the second son spoke most sensibly too, and said: 'whatever i give to you i deprive myself of. just go your own way, will you?' not long after his punishment overtook him, for no sooner had he struck a couple of blows on a tree with his axe, than he cut his leg so badly that he had to be carried home .",PAQ,test,what weapon did val use to cut down a tree?,axe.,3,5,5,4,3,1,1,2,4
1,503,golden-goose,62,"so then dullhead said: 'father, let me go out and cut wood.'but his father answered: 'both your brothers have injured themselves. you had better leave it alone; you know nothing about it.'but dullhead begged so hard to be allowed to go that at last his father said: 'very well, then-go. perhaps when you have hurt yourself, you may learn to know better.' his mother only gave him a very plain cake made with water and baked in the cinders, and a bottle of sour beer .",groundtruth,test,who will dullhead meet in the forest ?,the little grey old man .,5,5,5,5,2,1,0,3,4
1,509,golden-goose,62,"so then dullhead said: 'father, let me go out and cut wood.'but his father answered: 'both your brothers have injured themselves. you had better leave it alone; you know nothing about it.'but dullhead begged so hard to be allowed to go that at last his father said: 'very well, then-go. perhaps when you have hurt yourself, you may learn to know better.' his mother only gave him a very plain cake made with water and baked in the cinders, and a bottle of sour beer .",Ours,test,what did dullhead's mother do when he hurt himself?,"his mother only gave him a very plain cake made with water and baked in the cinders , and a bottle of sour beer.",3,1,1,5,5,5,2,4,4
1,577,old-hop-giant,71,"but the rich neighbor wanted the meadow for himself alone, and toldthe poor one that he would drive him out of house and home if he didnot come to an agreement with him that whichever one of them mowed thelargest stretch of the meadowland in a single day, should receive theentire meadow .",PAQ,test,which neighbor wanted the meadow for himself alone?,rich.,5,5,5,4,4,1,1,1,4
1,592,old-hop-giant,73,"then it was that a large man stepped up to him and said: ""do notgrieve so. i can tell you what you ought to do. when the mowingbegins, just call out 'old hopgiant!' three times in succession, andyou'll not be at a loss, as you shall see for yourself."" and with thathe disappeared .",PAQ,test,what did val say when the mowing began?,old hopgiant.,3,5,5,4,3,1,1,2,4
1,895,old-dschang,109,"the next day he invited her to dinner again and gave her money. then the old match-maker said: ""you do not know what you wish! why should a gentleman's beautiful daughter condescend to marry a poor old gardener like yourself? even though you had money to burn, your white hair would not match her black locks. such a marriage is out of the question!""but old dschang did not cease to entreat her: ""make an attempt, just one attempt, to mention me! if they will not listen to you, then i must resign myself to my fate!""the old match-maker had taken his money, so she could not well refuse, and though she feared being scolded, she mentioned him to sir we. he grew angry and wanted to throw her out of the house.""i knew you would not thank me,"" said she, ""but the old man urged it so that i could not refuse to mention his intention.""""tell the old man that if this very day he brings me two white jade-stones, and four hundred ounces of yellow gold, then i will give him my daughter's hand in marriage."" .",Ours,val,who took the husband's money?,the old match-maker.,5,5,5,4,2,1,1,3,4
