id,section,question,answer,readability_new,relevancy_q_new,relevancy_a_new
0,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",where did the man and his wife and two girls live ?,near a forest .,5,5,5
1,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",where did the man and his wife and two girls live ?,near a forest .,5,5,5
2,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",how did the man's daughter look ?,beautiful .,5,4,5
3,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",how did the man's daughter look ?,beautiful .,5,5,5
4,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",who thought the most bewitching maiden ever was seen?,her mother.,2,3,3
5,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",who thought the most bewitching maiden ever was seen?,her mother.,5,5,5
6,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",what was the name of the woman's daughter?,cross and ugly.,5,2,1
7,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",what was the name of the woman's daughter?,cross and ugly.,5,3,1
8,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",what type of girl was the woman's daughter?,ugly.,5,5,5
9,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",what type of girl was the woman's daughter?,ugly.,5,3,2
10,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",where did the man and his wife live?,a forest.,5,5,2
11,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",where did the man and his wife live?,a forest.,5,5,4
12,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",who was good and beautiful?,the man's daughter.,5,5,5
13,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",who was good and beautiful?,the man's daughter.,5,5,5
14,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",who was cross and ugly?,the woman's daughter.,5,5,5
15,"once upon a time there lived near a forest a man and his wife and two girls; one girl was the daughter of the man, and the other the daughter of his wife; and the man's daughter was good and beautiful, but the woman's daughter was cross and ugly. however, her mother did not know that, but thought her the most bewitching maiden that ever was seen .",who was cross and ugly?,the woman's daughter.,5,5,5
16,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",what did the man realize when he got home ?,he left his axe behind .,4,5,5
17,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",what did the man realize when he got home ?,he left his axe behind .,5,5,5
18,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",where did the man leave his axe ?,in the forest .,5,5,5
19,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",where did the man leave his axe ?,in the forest .,5,5,5
20,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",why did the man want the wife's daughter to fetch the axe ?,his daughter worked hard all day and was wet and weary .,5,5,5
21,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",why did the man want the wife's daughter to fetch the axe ?,his daughter worked hard all day and was wet and weary .,5,5,5
22,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",what did val say he dropped in the forest?,axe.,4,5,2
23,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",what did val say he dropped in the forest?,axe.,5,3,4
24,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",who did val say he dropped his axe in the forest?,his daughter.,1,3,1
25,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",who did val say he dropped his axe in the forest?,his daughter.,3,5,1
26,"one day the man called to his daughter and bade her come with him into the forest to cut wood. they worked hard all day, but in spite of the chopping they were very cold, for it rained heavily, and when they returned home, they were wet through. then, to his vexation, the man found that he had left his axe behind him, and he knew that if it lay all night in the mud it would become rusty and useless. so he said to his wife:'i have dropped my axe in the forest, bid your daughter go and fetch it, for mine has worked hard all day and is both wet and weary.' .",what did val do with his daughter?,cut wood.,4,5,5
